Date,New cases (HUC),Deaths (HUC),Recovered (HUC),Suspects,New cases (datahub),Recovered (datahub),Deaths (datahub),New cases (OWD),Recovered (OWD),Deaths (OWD),New cases (DGE),NC,Recovered (DGE),Deaths (DGE),AcumulatedRecovered,Cases,Deaths,,,,,,,,Tested people
2020-04-17,578,60,0,20,578,0,60,578,0,60,808,882,0,62,2125,880,75,,,,,,,,
2020-04-18,622,104,0,24,622,0,104,622,0,104,953,1013,0,72,2125,1016,101,,,,,,,,
2020-04-19,764,36,502,13,764,502,36,764,502,36,636,723,502,76,2627,723,100,,,,,,,,
2020-04-20,511,26,0,27,511,0,26,511,0,26,584,664,0,91,2627,662,124,,,,,,,,
2020-04-21,729,145,0,35,729,0,145,729,0,145,1186,1345,0,90,2627,1333,136,,,,,,,,
2020-04-22,1043,113,0,33,1043,0,113,1043,0,113,1158,1307,0,92,2627,1292,135,,,,,,,,
2020-04-23,1089,99,0,41,1089,0,99,1089,0,99,1053,1243,0,99,2627,1231,143,,,,,,,,
2020-04-24,1239,152,0,52,1239,0,152,1239,0,152,1094,1328,0,95,2627,1315,141,,,,,,,,
2020-04-25,970,84,4522,43,970,4522,84,970,4522,84,1250,1506,4522,110,7149,1496,176,,,,,,,,
2020-04-26,835,46,1205,30,835,1205,46,835,1205,46,852,951,1205,80,8354,938,178,,,,,,,,
2020-04-27,852,83,732,22,852,732,83,852,732,83,1223,930,732,138,9086,921,195,,,,,,,,
2020-04-28,1223,135,2337,68,1223,2337,135,1223,2337,135,1047,1684,2332,163,11423,1659,180,,,,,,,,
2020-04-29,1047,163,0,73,1047,0,163,1047,0,163,1425,1683,0,127,11423,1666,156,,,,,,,,
2020-04-30,1425,127,0,55,1425,0,127,1425,0,127,1515,1678,0,113,11423,1657,207,,,,,,,,
2020-05-01,1515,113,954,70,1515,954,113,1515,954,113,1349,1680,954,89,12377,1636,191,,,,,,,,
2020-05-02,1349,89,0,46,1349,0,89,1349,0,89,1383,1283,0,93,12377,1246,217,,,,,,,,
2020-05-03,1383,93,1070,60,1383,1070,93,1383,1070,93,1434,1290,,117,,1264,205,,,,,,,,
2020-05-04,1434,117,0,56,1434,0,117,1434,0,117,1120,1161,,236,,1142,198,,,,,,,,
2020-05-05,1120,236,3363,115,1120,3363,236,1120,3363,236,1579,2367,,197,,2316,234,,,,,,,,
2020-05-06,1609,197,971,239,1609,971,197,1609,971,197,2012,1926,,257,,1878,216,,,,,,,,
2020-05-07,1982,257,0,264,1982,0,257,1982,0,257,1906,2119,,199,,2051,227,,,,,,,,
2020-05-08,1906,199,2533,224,1906,2533,199,1906,2533,199,1938,2234,,193,,2117,209,,,,,,,,
2020-05-09,1938,193,1510,253,1938,1510,193,1938,1510,193,1562,2255,,112,,2133,224,,,,,,,,
2020-05-10,1562,112,0,183,1562,0,112,1562,0,112,1305,1407,,108,,1305,207,,,,,,,,
2020-05-11,1305,108,1276,131,1305,1276,108,1305,1276,108,1997,1276,,353,,1202,213,,,,,,,,
2020-05-12,1997,353,2835,298,1997,2835,353,1997,2835,353,1862,2725,,294,,2586,220,,,,,,,,
2020-05-13,1862,294,1055,327,1862,1055,294,1862,1055,294,2411,2679,,257,,2504,215,,,,,,,,
2020-05-14,2409,257,1485,322,2409,1485,257,2409,1485,257,2435,2925,,290,,2651,230,,,,,,,,
2020-05-15,2437,290,1976,361,2437,1976,290,2437,1976,290,2112,2814,,278,,2557,258,,,,,,,,
2020-05-16,2112,278,1397,438,2112,1397,278,2112,1397,278,2075,3188,,132,,2839,261,,,,,,,,
2020-05-17,2075,132,1481,258,2075,1481,132,2075,1481,132,2414,1940,,155,,1669,233,,,,,,,,
2020-05-18,2414,155,2059,164,2414,2059,155,2414,2059,155,2713,1486,,334,,1333,246,,,,,,,,
2020-05-19,2713,334,1937,579,2713,1937,334,2713,1937,334,2248,3613,,424,,3193,252,,,,,,,,
2020-05-20,2248,424,1094,555,2248,1094,424,2248,1094,424,2973,3180,,420,,2825,245,,,,,,,,
2020-05-21,2973,420,1733,487,2973,1733,420,2973,1733,420,2960,3480,,479,,2916,228,,,,,,,,
2020-05-22,2960,479,2039,541,2960,2039,479,2960,2039,479,3329,3500,,190,,2802,225,,,,,,,,
2020-05-23,3329,190,2233,554,3329,2233,190,3329,2233,190,2764,3540,,215,,2408,188,,,,,,,,
2020-05-24,2764,215,2555,353,2764,2555,215,2764,2555,215,2485,1936,,239,,1033,163,,,,,,,,
2020-05-25,2485,239,2473,246,2485,2473,239,2485,2473,239,3455,1686,,501,,680,184,,,,,,,,
2020-05-26,3455,501,2256,601,3455,2256,501,3455,2256,501,3463,4200,,463,,1158,143,,,,,,,,
